Time frequency,species,Unit of measure,area,year,value
Annual,Laying hens,Thousand heads (animals),Portugal,1997,6516.0
Annual,Laying hens,Thousand heads (animals),Denmark,1997,3993.0
Annual,Laying hens,Thousand heads (animals),Austria,1997,6048.0
Annual,Laying hens,Thousand heads (animals),Austria,1998,6025.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1998,0.0
Annual,Laying hens,Thousand heads (animals),Latvia,1998,2066.4
Annual,Laying hens,Thousand heads (animals),Portugal,1998,7226.0
Annual,Laying hens,Thousand heads (animals),Finland,1998,4767.5
Annual,Laying hens,Thousand heads (animals),United Kingdom,1998,41161.0
Annual,Laying hens,Thousand heads (animals),Cyprus,1998,1300.0
Annual,Laying hens,Thousand heads (animals),Czechia,1998,11902.0
Annual,Laying hens,Thousand heads (animals),Greece,1998,14556.0
Annual,Laying hens,Thousand heads (animals),Slovakia,1998,6161.0
Annual,Laying hens,Thousand heads (animals),Poland,1998,43386.0
Annual,Laying hens,Thousand heads (animals),European Union - 15 countries (1995-2004),1998,349153.2
Annual,Laying hens,Thousand heads (animals),Lithuania,1998,4258.4
Annual,Laying hens,Thousand heads (animals),Spain,1998,46717.0
Annual,Laying hens,Thousand heads (animals),Bulgaria,1998,8896.0
Annual,Laying hens,Thousand heads (animals),Italy,1998,51120.0
Annual,Laying hens,Thousand heads (animals),Denmark,1998,3621.0
Annual,Laying hens,Thousand heads (animals),Belgium,1998,14270.0
Annual,Laying hens,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1998,50188.0
Annual,Laying hens,Thousand heads (animals),Ireland,1998,2632.0
Annual,Laying hens,Thousand heads (animals),France,1998,60073.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1998,41435.0
Annual,Laying hens,Thousand heads (animals),Sweden,1998,5361.7
Annual,Laying hens,Thousand heads (animals),Italy,1999,55696.0
Annual,Laying hens,Thousand heads (animals),Portugal,1999,7097.0
Annual,Laying hens,Thousand heads (animals),Netherlands,1999,42461.0
Annual,Laying hens,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1999,50054.0
Annual,Laying hens,Thousand heads (animals),Belgium,1999,14227.4
Annual,Laying hens,Thousand heads (animals),France,1999,60325.0
Annual,Laying hens,Thousand heads (animals),Greece,1999,14469.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,1999,0.0
Annual,Laying hens,Thousand heads (animals),Finland,1999,3390.0
Annual,Laying hens,Thousand heads (animals),United Kingdom,1999,38869.0
Annual,Laying hens,Thousand heads (animals),Latvia,1999,2032.4
Annual,Laying hens,Thousand heads (animals),Ireland,1999,2802.0
Annual,Laying hens,Thousand heads (animals),Austria,1999,5580.0
Annual,Laying hens,Thousand heads (animals),Sweden,1999,5647.5
Annual,Laying hens,Thousand heads (animals),European Union - 15 countries (1995-2004),1999,351023.9
Annual,Laying hens,Thousand heads (animals),Spain,1999,46726.0
Annual,Laying hens,Thousand heads (animals),Lithuania,1999,3837.3
Annual,Laying hens,Thousand heads (animals),Denmark,1999,3680.0
Annual,Laying hens,Thousand heads (animals),Sweden,2000,5669.7
Annual,Laying hens,Thousand heads (animals),Finland,2000,3329.0
Annual,Laying hens,Thousand heads (animals),Greece,2000,14805.0
Annual,Laying hens,Thousand heads (animals),Austria,2000,5215.0
Annual,Laying hens,Thousand heads (animals),Ireland,2000,3516.0
Annual,Laying hens,Thousand heads (animals),Netherlands,2000,42461.0
Annual,Laying hens,Thousand heads (animals),European Union - 15 countries (1995-2004),2000,366481.9
Annual,Laying hens,Thousand heads (animals),Latvia,2000,1980.5
Annual,Laying hens,Thousand heads (animals),United Kingdom,2000,39148.4
Annual,Laying hens,Thousand heads (animals),Lithuania,2000,3500.4
Annual,Laying hens,Thousand heads (animals),Denmark,2000,3681.0
Annual,Laying hens,Thousand heads (animals),Portugal,2000,7548.0
Annual,Laying hens,Thousand heads (animals),Italy,2000,63289.0
Annual,Laying hens,Thousand heads (animals),Spain,2000,51419.4
Annual,Laying hens,Thousand heads (animals),Belgium,2000,12452.4
Annual,Laying hens,Thousand heads (animals),France,2000,63600.0
Annual,Laying hens,Thousand heads (animals),Luxembourg,2000,0.0
